City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
153,Gualeguay,AR,2020-04-18 18:53:54,-33.14,-59.31,81.03,35,0,9.31,clear sky,0.0,0.0
154,Yellowknife,CA,2020-04-18 18:53:54,62.46,-114.35,24.01,79,75,9.17,light snow,0.0,0.0
155,Pevek,RU,2020-04-18 18:49:17,69.7,170.31,-4.92,89,0,7.09,clear sky,0.0,0.0
156,Port-Gentil,GA,2020-04-18 18:53:55,-0.72,8.78,84.2,83,40,8.05,scattered clouds,0.0,0.0
157,Port Hedland,AU,2020-04-18 18:53:55,-20.32,118.57,78.8,94,67,6.93,broken clouds,0.0,0.0
158,Abomsa,ET,2020-04-18 18:53:55,9.98,39.98,72.84,49,100,3.24,light rain,2.27,0.0
159,Amuntai,ID,2020-04-18 18:53:55,-2.42,115.25,75.2,95,99,1.3,moderate rain,5.43,0.0
160,Erenhot,CN,2020-04-18 18:53:56,43.65,111.98,49.46,46,100,13.69,overcast clouds,0.0,0.0
161,Irtyshskiy,RU,2020-04-18 18:53:56,58.33,68.13,44.29,70,92,8.08,overcast clouds,0.0,0.0
162,Burayevo,RU,2020-04-18 18:53:56,55.84,55.41,38.55,74,70,7.29,light rain,0.37,0.0
163,Georgetown,MY,2020-04-18 18:53:56,5.41,100.34,82.4,88,40,4.7,scattered clouds,0.0,0.0
164,Vila Franca Do Campo,PT,2020-04-18 18:53:57,37.72,-25.43,62.6,88,40,13.87,scattered clouds,0.0,0.0
165,Buraydah,SA,2020-04-18 18:50:36,26.33,43.98,78.8,54,50,19.46,dust,0.0,0.0
166,Souillac,MU,2020-04-18 18:53:57,-20.52,57.52,79.0,74,40,16.11,shower rain,0.0,0.0
167,Bilibino,RU,2020-04-18 18:53:57,68.05,166.44,-8.21,81,13,5.03,few clouds,0.0,0.0
168,Misratah,LY,2020-04-18 18:50:29,32.38,15.09,65.37,70,54,12.88,broken clouds,0.0,0.0
169,Pangkalanbuun,ID,2020-04-18 18:49:44,-2.68,111.62,77.23,92,83,4.25,light rain,0.19,0.0
170,Karasburg,NA,2020-04-18 18:53:58,-28.02,18.75,75.07,13,0,13.67,clear sky,0.0,0.0
171,Hobart,AU,2020-04-18 18:53:07,-42.88,147.33,44.01,87,72,5.59,broken clouds,0.0,0.0
172,Ahipara,NZ,2020-04-18 18:53:59,-35.17,173.17,63.79,84,65,10.96,broken clouds,0.0,0.0
173,Ilo,PE,2020-04-18 18:53:59,-17.64,-71.34,74.01,60,3,7.94,clear sky,0.0,0.0
174,Lompoc,US,2020-04-18 18:53:59,34.64,-120.46,60.8,63,90,6.93,overcast clouds,0.0,0.0
175,Castro,BR,2020-04-18 18:53:06,-24.79,-50.01,71.24,38,36,4.59,scattered clouds,0.0,0.0
176,Hay River,CA,2020-04-18 18:49:16,60.82,-115.8,33.8,64,75,2.24,broken clouds,0.0,0.0
177,Baykalsk,RU,2020-04-18 18:54:00,51.51,104.15,33.49,73,99,5.5,light snow,0.0,0.99
178,Kikwit,CD,2020-04-18 18:54:00,-5.04,18.82,73.6,80,100,3.62,light rain,1.22,0.0
179,Yulara,AU,2020-04-18 18:49:47,-25.24,130.99,68.0,42,0,6.93,clear sky,0.0,0.0
180,Mathbaria,BD,2020-04-18 18:54:01,22.29,89.96,76.01,72,89,9.89,overcast clouds,0.0,0.0
181,Urengoy,RU,2020-04-18 18:51:45,65.97,78.37,39.65,93,100,23.62,light rain,1.35,0.0
182,Kaitangata,NZ,2020-04-18 18:52:58,-46.28,169.85,48.0,89,100,7.87,overcast clouds,0.0,0.0
183,Lethem,GY,2020-04-18 18:54:01,3.38,-59.8,94.86,36,73,7.36,broken clouds,0.0,0.0
184,Siilinjarvi,FI,2020-04-18 18:54:02,63.08,27.67,35.6,85,87,10.29,overcast clouds,0.0,0.0
185,Hasanabad,IR,2020-04-18 18:54:02,36.55,61.05,62.6,63,100,2.24,overcast clouds,0.0,0.0
186,Penarroya-Pueblonuevo,ES,2020-04-18 18:54:02,38.3,-5.27,69.8,60,86,5.82,light rain,0.27,0.0
187,Mumford,GH,2020-04-18 18:54:02,5.26,-0.76,83.77,78,57,12.17,light rain,0.27,0.0
