City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Ukiah,US,2020-04-18 16:55:11,39.15,-123.21,54.0,71,90,4.7
181,Derzhavinsk,KZ,2020-04-18 16:55:12,51.1,66.32,53.83,56,98,7.94
182,Tasiilaq,GL,2020-04-18 16:51:36,65.61,-37.64,32.0,91,75,19.46
183,Verkhnevilyuysk,RU,2020-04-18 16:53:10,63.45,120.32,3.38,93,19,4.5
184,Talara,PE,2020-04-18 16:55:12,-4.58,-81.27,86.0,62,19,12.75
185,Rio Tercero,AR,2020-04-18 16:55:12,-32.17,-64.11,79.03,25,0,17.22
186,Longyearbyen,SJ,2020-04-18 16:51:35,78.22,15.64,33.8,69,40,4.7
187,Poum,NC,2020-04-18 16:52:49,-20.23,164.02,78.17,77,81,14.76
188,Port Augusta,AU,2020-04-18 16:52:48,-32.5,137.77,53.6,87,40,3.36
189,Lompoc,US,2020-04-18 16:52:26,34.64,-120.46,57.0,87,90,9.17
190,Hasaki,JP,2020-04-18 16:51:38,35.73,140.83,54.0,76,40,8.05
191,Asau,RO,2020-04-18 16:52:57,46.43,26.4,66.2,29,52,3.36
192,Bethel,US,2020-04-18 16:48:38,41.37,-73.41,39.99,86,90,13.87
193,Dali,CN,2020-04-18 16:55:14,25.7,100.18,53.89,40,46,4.25
194,Port-Cartier,CA,2020-04-18 16:55:14,50.03,-66.87,35.01,80,20,12.75
195,Nagaur,IN,2020-04-18 16:55:15,27.2,73.73,84.81,28,48,10.02
196,Jieshi,CN,2020-04-18 16:55:15,22.81,115.83,78.01,79,97,1.01
197,Coquimbo,CL,2020-04-18 16:51:05,-29.95,-71.34,59.0,87,90,10.29
198,Zomin,UZ,2020-04-18 16:55:15,39.96,68.4,57.36,42,7,4.94
199,Kununurra,AU,2020-04-18 16:52:02,-15.77,128.73,77.0,83,40,6.93
200,Biu,NG,2020-04-18 16:55:16,10.61,12.19,87.01,9,34,5.5
201,Richards Bay,ZA,2020-04-18 16:52:17,-28.78,32.04,72.5,79,34,12.01
202,Maromitsa,RU,2020-04-18 16:55:16,59.87,48.01,33.31,85,96,4.25
203,Polunochnoye,RU,2020-04-18 16:52:54,60.87,60.42,34.75,90,100,4.52
204,Stepnyak,KZ,2020-04-18 16:55:17,52.83,70.78,51.58,53,100,4.65
205,Krasnokholmskiy,RU,2020-04-18 16:55:17,55.99,55.05,37.54,80,71,6.35
206,Constitucion,CL,2020-04-18 16:50:56,-35.33,-72.42,68.79,74,93,9.37
207,Ouadda,CF,2020-04-18 16:55:18,8.08,22.4,80.38,14,64,0.76
208,Zhigalovo,RU,2020-04-18 16:55:18,54.81,105.16,23.5,85,76,7.81
209,Iqaluit,CA,2020-04-18 16:52:05,63.75,-68.51,5.0,65,75,3.36
210,Ribeira Grande,PT,2020-04-18 16:51:16,38.52,-28.7,64.4,88,75,10.29
211,Mayor Pablo Lagerenza,PY,2020-04-18 16:55:19,-19.93,-60.77,90.48,18,0,4.72
212,Ormara,PK,2020-04-18 16:52:07,25.21,64.64,78.73,77,60,11.05
213,Guhagar,IN,2020-04-18 16:55:19,17.48,73.19,81.9,81,7,1.59
214,Phangnga,TH,2020-04-18 16:55:20,8.45,98.53,78.8,94,75,5.82
215,Russell,US,2020-04-18 16:51:41,32.35,-85.2,75.99,60,40,11.41
216,Vila Velha,BR,2020-04-18 16:55:20,-20.33,-40.29,79.0,65,75,16.11
217,Mitchell,US,2020-04-18 16:55:20,43.71,-98.03,57.2,41,1,10.29
218,Chapais,CA,2020-04-18 16:55:21,49.78,-74.85,37.4,44,75,23.04
219,Sola,VU,2020-04-18 16:55:21,-13.88,167.55,82.44,76,73,10.36
220,Broome,US,2020-04-18 16:52:54,42.25,-75.83,39.0,80,90,19.46
221,Norsup,VU,2020-04-18 16:55:21,-16.07,167.38,81.03,78,54,11.43
222,Indergarh,IN,2020-04-18 16:55:22,26.94,79.67,85.55,20,63,5.17
